image,endpoint,beginning
frame_000409.png,992,1199
frame_000410.png,991,1198
frame_000411.png,990,1197
frame_000412.png,989,1196
frame_000413.png,988,1195
frame_000414.png,987,1194
frame_000415.png,986,1193
frame_000416.png,985,1192
frame_000417.png,984,1191
frame_000418.png,983,1191
frame_000419.png,983,1190
frame_000420.png,982,1189
frame_000421.png,981,1188
frame_000422.png,980,1187
frame_000423.png,979,1186
frame_000424.png,978,1185
frame_000425.png,977,1184
frame_000426.png,976,1183
frame_000427.png,975,1182
frame_000428.png,975,1182
frame_000429.png,974,1181
frame_000430.png,973,1180
frame_000431.png,972,1179
frame_000432.png,971,1178
frame_000433.png,971,1177
frame_000434.png,970,1176
frame_000435.png,969,1175
frame_000436.png,968,1174
frame_000437.png,967,1173
frame_000438.png,966,1172
frame_000439.png,964,1171
frame_000440.png,963,1171
frame_000441.png,963,1170
frame_000442.png,962,1169
frame_000443.png,961,1168
frame_000444.png,960,1167
frame_000445.png,959,1166
frame_000446.png,958,1165
frame_000447.png,957,1164
frame_000448.png,956,1163
frame_000449.png,955,1162
frame_000450.png,954,1162
frame_000451.png,953,1161
frame_000452.png,952,1160
frame_000453.png,951,1159
frame_000454.png,950,1158
frame_000455.png,949,1157
frame_000456.png,948,1156
frame_000457.png,947,1155
frame_000458.png,946,1154
frame_000459.png,946,1153
frame_000460.png,945,1153
frame_000461.png,944,1152
frame_000462.png,943,1151
frame_000463.png,942,1150
frame_000464.png,941,1149
frame_000465.png,940,1148
frame_000466.png,939,1147
frame_000467.png,937,1146
frame_000468.png,936,1145
frame_000469.png,935,1144
frame_000470.png,934,1143
frame_000471.png,933,1142
frame_000472.png,932,1141
frame_000473.png,931,1141
frame_000474.png,930,1140
frame_000475.png,929,1139
frame_000476.png,928,1138
frame_000477.png,928,1137
frame_000478.png,927,1136
frame_000479.png,926,1135
frame_000480.png,925,1134
frame_000481.png,924,1133
frame_000482.png,923,1132
frame_000483.png,922,1131
frame_000484.png,921,1130
frame_000485.png,920,1129
frame_000486.png,919,1129
frame_000487.png,918,1128
frame_000488.png,917,1127
frame_000489.png,916,1126
frame_000490.png,915,1125
frame_000491.png,914,1124
frame_000492.png,913,1122
frame_000493.png,912,1121
frame_000494.png,911,1121
frame_000495.png,910,1120
frame_000496.png,909,1119
frame_000497.png,908,1118
frame_000498.png,907,1117
frame_000499.png,906,1116
frame_000500.png,905,1115
frame_000501.png,904,1114
frame_000502.png,903,1113
frame_000503.png,902,1113
frame_000504.png,901,1111
frame_000505.png,900,1111
frame_000506.png,899,1110
frame_000507.png,898,1109
frame_000508.png,897,1108
frame_000509.png,896,1107
frame_000510.png,895,1106
frame_000511.png,894,1105
frame_000512.png,893,1104
frame_000513.png,892,1103
frame_000514.png,891,1102
frame_000515.png,890,1101
frame_000516.png,889,1100
frame_000517.png,888,1099
frame_000518.png,887,1098
frame_000519.png,886,1098
frame_000520.png,885,1097
frame_000521.png,884,1096
frame_000522.png,883,1095
frame_000523.png,881,1094
frame_000524.png,880,1093
frame_000525.png,879,1092
frame_000526.png,878,1091
frame_000527.png,877,1090
frame_000528.png,876,1089
frame_000529.png,875,1088
frame_000530.png,874,1087
frame_000531.png,873,1087
frame_000532.png,872,1086
frame_000533.png,871,1085
frame_000534.png,870,1084
frame_000535.png,869,1083
frame_000536.png,868,1082
frame_000537.png,867,1081
frame_000538.png,866,1080
frame_000539.png,865,1079
frame_000540.png,864,1078
frame_000541.png,863,1078
frame_000542.png,862,1077
frame_000543.png,861,1076
frame_000544.png,860,1075
frame_000545.png,859,1074
frame_000546.png,858,1073
frame_000547.png,857,1072
frame_000548.png,856,1071
frame_000549.png,854,1070
frame_000550.png,853,1069
frame_000551.png,852,1068
frame_000552.png,851,1067
frame_000553.png,850,1066
frame_000554.png,849,1066
frame_000555.png,848,1065
frame_000556.png,846,1064
frame_000557.png,845,1063
frame_000558.png,844,1062
frame_000559.png,843,1061
frame_000560.png,842,1059
frame_000561.png,841,1058
frame_000562.png,840,1057
frame_000563.png,839,1056
frame_000564.png,838,1055
frame_000565.png,837,1054
frame_000566.png,836,1053
frame_000567.png,835,1052
frame_000568.png,834,1051
frame_000569.png,833,1050
frame_000570.png,832,1049
frame_000571.png,830,1048
frame_000572.png,829,1047
frame_000573.png,828,1046
frame_000574.png,826,1044
frame_000575.png,825,1043
frame_000576.png,824,1042
frame_000577.png,823,1041
frame_000578.png,822,1040
frame_000579.png,821,1039
frame_000580.png,820,1038
frame_000581.png,819,1037
frame_000582.png,818,1036
frame_000583.png,816,1035
frame_000584.png,815,1034
frame_000585.png,814,1033
frame_000586.png,813,1031
frame_000587.png,812,1030
frame_000588.png,811,1029
frame_000589.png,809,1028
frame_000590.png,808,1027
frame_000591.png,807,1026
frame_000592.png,806,1025
frame_000593.png,805,1024
frame_000594.png,804,1023
frame_000595.png,802,1022
frame_000596.png,801,1021
frame_000597.png,800,1020
frame_000598.png,798,1019
frame_000599.png,797,1017
frame_000600.png,796,1016
frame_000601.png,795,1015
frame_000602.png,794,1014
frame_000603.png,793,1013
frame_000604.png,792,1012
frame_000605.png,791,1011
frame_000606.png,790,1010
frame_000607.png,789,1009
frame_000608.png,788,1008
frame_000609.png,787,1007
frame_000610.png,786,1006
frame_000611.png,785,1004
frame_000612.png,784,1003
frame_000613.png,783,1002
frame_000614.png,782,1001
frame_000615.png,781,1000
frame_000616.png,780,999
frame_000617.png,779,997
frame_000618.png,778,996
frame_000619.png,777,995
frame_000620.png,776,994
frame_000621.png,774,993
frame_000622.png,773,992
frame_000623.png,772,990
frame_000624.png,771,989
frame_000625.png,769,988
frame_000626.png,768,987
frame_000627.png,767,986
frame_000628.png,766,985
frame_000629.png,765,983
frame_000630.png,764,982
frame_000631.png,763,980
frame_000632.png,761,978
frame_000633.png,760,976
frame_000634.png,759,976
frame_000635.png,758,975
frame_000636.png,757,974
frame_000637.png,756,973
frame_000638.png,754,971
frame_000639.png,753,970
frame_000640.png,752,969
frame_000641.png,751,968
frame_000642.png,750,967
frame_000643.png,749,966
frame_000644.png,747,965
frame_000645.png,746,964
frame_000646.png,745,963
frame_000647.png,743,962
frame_000648.png,742,961
frame_000649.png,741,960
frame_000650.png,740,959
frame_000651.png,738,958
frame_000652.png,737,957
frame_000653.png,736,956
frame_000654.png,735,955
frame_000655.png,734,954
frame_000656.png,733,952
frame_000657.png,732,951
frame_000658.png,730,950
frame_000659.png,729,949
frame_000660.png,728,948
frame_000661.png,727,947
frame_000662.png,726,946
frame_000663.png,725,945
frame_000664.png,723,944
frame_000665.png,722,943
frame_000666.png,721,942
frame_000667.png,720,941
frame_000668.png,719,940
frame_000669.png,717,939
frame_000670.png,716,938
frame_000671.png,715,937
frame_000672.png,713,936
frame_000673.png,712,935
frame_000674.png,711,934
frame_000675.png,710,933
frame_000676.png,708,932
frame_000677.png,707,931
frame_000678.png,706,930
frame_000679.png,705,928
frame_000680.png,704,927
frame_000681.png,702,926
frame_000682.png,701,925
frame_000683.png,700,924
frame_000684.png,699,923
frame_000685.png,698,922
frame_000686.png,696,920
frame_000687.png,695,919
frame_000688.png,694,918
frame_000689.png,693,917
frame_000690.png,692,916
frame_000691.png,690,916
frame_000692.png,689,915
frame_000693.png,687,914
frame_000694.png,686,913
frame_000695.png,685,912
frame_000696.png,684,911
frame_000697.png,682,910
frame_000698.png,681,909
frame_000699.png,680,908
frame_000700.png,679,907
frame_000701.png,677,906
frame_000702.png,676,905
frame_000703.png,675,904
frame_000704.png,674,903
frame_000705.png,672,902
frame_000706.png,671,902
frame_000707.png,670,901
frame_000708.png,669,900
frame_000709.png,667,899
frame_000710.png,666,898
frame_000711.png,665,897
frame_000712.png,664,896
frame_000713.png,663,895
frame_000714.png,661,894
frame_000715.png,659,893
frame_000716.png,658,892
frame_000717.png,657,891
frame_000718.png,656,890
frame_000719.png,654,889
frame_000720.png,653,888
frame_000721.png,652,886
frame_000722.png,650,885
frame_000723.png,649,884
frame_000724.png,648,883
frame_000725.png,646,882
frame_000726.png,645,881
frame_000727.png,644,880
frame_000728.png,642,879
frame_000729.png,641,877
frame_000730.png,639,876
frame_000731.png,638,875
frame_000732.png,637,874
frame_000733.png,635,873
frame_000734.png,634,872
frame_000735.png,632,870
frame_000736.png,630,869
frame_000737.png,629,868
frame_000738.png,628,867
frame_000739.png,626,866
frame_000740.png,625,865
frame_000741.png,623,864
frame_000742.png,622,863
frame_000743.png,621,862
frame_000744.png,619,861
frame_000745.png,618,859
frame_000746.png,617,858
frame_000747.png,615,857
frame_000748.png,614,856
frame_000749.png,613,855
frame_000750.png,611,854
frame_000751.png,610,853
frame_000752.png,608,852
frame_000753.png,607,850
frame_000754.png,606,850
frame_000755.png,604,848
frame_000756.png,603,847
frame_000757.png,601,846
frame_000758.png,600,845
frame_000759.png,599,844
